Gender,Course1,Course1,Course,Strand Code,Strand,,,,,Salary,GWA
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,43943,78
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Undecided,ICT,Information and Communications Technology (ICT),,,,,74674,96
Male      ,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,95639,100
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,98700,71
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Accountancy - BSA,ABM,"Accountancy, Business and Management (ABM)",,,,,97822,90
Male      ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,50219,100
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Arts in Psychology - AB PSYCHOLOGY,ICT,Information and Communications Technology (ICT),,,,,77146,71
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Computer Science - BSCS,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,100786,83
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Nursing - BSN,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,45468,73
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,110131,98
Female    ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,18717,91
Female    ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in English - BSED ENGLISH,HUMSS,Humanities and Social Sciences (HUMSS),,,,,81897,76
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,HUMSS,Humanities and Social Sciences (HUMSS),,,,,101386,73
Female    ,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,128664,88
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Undecided,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,36302,86
Male      ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Undecided,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,95184,75
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in English - BSED ENGLISH,Not in the list,HUMSS,Humanities and Social Sciences (HUMSS),,,,,77493,99
Female    ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,NO CHOSEN COURSE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,120399,70
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,ICT,Information and Communications Technology (ICT),,,,,24484,71
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Entrepreneurship - BSENT,HE,Home Economics (HE),,,,,114581,75
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Computer Science - BSCS,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,13522,98
Male      ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,107134,96
-         ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,111492,76
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,ICT,Information and Communications Technology (ICT),,,,,48681,75
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Arts in Psychology - AB PSYCHOLOGY,ABM,"Accountancy, Business and Management (ABM)",,,,,86707,94
Female    ,NO CHOSEN COURSE,NO CHOSEN COURSE,Bachelor of Secondary Education major in English - BSED ENGLISH,HUMSS,Humanities and Social Sciences (HUMSS),,,,,74858,93
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,69350,72
Male      ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Not in the list,HUMSS,Humanities and Social Sciences (HUMSS),,,,,78307,86
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,101588,84
Female    ,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Secondary Education major in English - BSED ENGLISH,HUMSS,Humanities and Social Sciences (HUMSS),,,,,123551,76
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Arts in Psychology - AB PSYCHOLOGY,ICT,Information and Communications Technology (ICT),,,,,61384,99
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Science in Information Technology - BSIT,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,88331,98
-         ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,104546,75
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,39919,85
Female    ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,HE,Home Economics (HE),,,,,77246,97
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,Not in the list,TVLM,TVL Maritime (TVLM),,,,,17299,99
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Secondary Education major in English - BSED ENGLISH,HUMSS,Humanities and Social Sciences (HUMSS),,,,,20869,86
Male      ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Hospitality Management - BSHM,HE,Home Economics (HE),,,,,53210,92
Female    ,Bachelor of Science in Information Technology - BSIT,NO CHOSEN COURSE,NO CHOSEN COURSE,ICT,Information and Communications Technology (ICT),,,,,122964,78
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Mathematics - BSED MATH,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,25193,79
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Accountancy - BSA,Bachelor of Secondary Education major in English - BSED ENGLISH,ABM,"Accountancy, Business and Management (ABM)",,,,,59043,98
Male      ,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Electronics and Communications Engineering - BSECE,ABM,"Accountancy, Business and Management (ABM)",,,,,100818,71
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,95996,100
Male      ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Computer Science - BSCS,Undecided,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,71329,95
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Secondary Education major in English - BSED ENGLISH,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,115407,81
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Accountancy - BSA,Not in the list,HE,Home Economics (HE),,,,,22855,83
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,42414,93
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,64656,91
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Computer Science - BSCS,ABM,"Accountancy, Business and Management (ABM)",,,,,57559,82
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,110832,70
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Hospitality Management - BSHM,ICT,Information and Communications Technology (ICT),,,,,129567,70
Male      ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,113225,97
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,21338,80
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,19518,88
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,HUMSS,Humanities and Social Sciences (HUMSS),,,,,20734,95
Female    ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,HE,Home Economics (HE),,,,,112909,89
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,116766,81
Male      ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Undecided,HUMSS,Humanities and Social Sciences (HUMSS),,,,,38286,85
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Undecided,HUMSS,Humanities and Social Sciences (HUMSS),,,,,59145,90
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Entrepreneurship - BSENT,ICT,Information and Communications Technology (ICT),,,,,69082,76
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Business Administration major in Marketing - BSBA,Not in the list,NO CHOSEN ,NO CHOSEN STRAND,,,,,109427,77
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Nursing - BSN,Bachelor of Science in Business Administration major in Marketing - BSBA,HE,Home Economics (HE),,,,,129320,90
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Not in the list,Not in the list,HUMSS,Humanities and Social Sciences (HUMSS),,,,,18918,81
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Computer Science - BSCS,Undecided,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,94836,73
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Accountancy - BSA,ABM,"Accountancy, Business and Management (ABM)",,,,,70095,93
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Nursing - BSN,HUMSS,Humanities and Social Sciences (HUMSS),,,,,42591,71
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Not in the list,ICT,Information and Communications Technology (ICT),,,,,32292,95
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,79966,78
Female    ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,HE,Home Economics (HE),,,,,31323,70
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,64390,79
Male      ,Bachelor of Science in Computer Science - BSCS,Not in the list,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,45801,70
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Information Technology - BSIT,ABM,"Accountancy, Business and Management (ABM)",,,,,26370,81
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Accountancy - BSA,ABM,"Accountancy, Business and Management (ABM)",,,,,47823,90
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,82951,88
Female    ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,HE,Home Economics (HE),,,,,46933,72
Female    ,Undecided,Undecided,Undecided,ABM,"Accountancy, Business and Management (ABM)",,,,,119717,70
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,NO CHOSEN COURSE,ABM,"Accountancy, Business and Management (ABM)",,,,,90538,95
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Science in Hospitality Management - BSHM,HUMSS,Humanities and Social Sciences (HUMSS),,,,,48386,86
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,HE,Home Economics (HE),,,,,24261,87
Male      ,Bachelor of Science in Information Technology - BSIT,Not in the list,Not in the list,ICT,Information and Communications Technology (ICT),,,,,21259,87
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,123009,86
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,110127,74
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,93494,77
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Elementary Education - BEED,ICT,Information and Communications Technology (ICT),,,,,108958,98
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Nursing - BSN,Bachelor of Secondary Education major in English - BSED ENGLISH,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,38330,98
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,28976,84
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,66811,99
Male      ,NO CHOSEN COURSE,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,66430,91
Female    ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,89784,76
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,86535,92
Male      ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Information Technology - BSIT,ABM,"Accountancy, Business and Management (ABM)",,,,,87580,74
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Electronics and Communications Engineering - BSECE,Undecided,ICT,Information and Communications Technology (ICT),,,,,35965,95
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,94964,91
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Nursing - BSN,ABM,"Accountancy, Business and Management (ABM)",,,,,71505,98
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in English - BSED ENGLISH,NO CHOSEN COURSE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,73356,98
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Accountancy - BSA,Not in the list,ABM,"Accountancy, Business and Management (ABM)",,,,,18854,77
Female    ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Undecided,GA,General Academic (GA) ,,,,,86863,73
Male      ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,Not in the list,HE,Home Economics (HE),,,,,52818,73
Female    ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,AF,Agri-Fishery (AF),,,,,101363,82
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Not in the list,Not in the list,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,12292,74
Male      ,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,ABM,"Accountancy, Business and Management (ABM)",,,,,65671,81
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Not in the list,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,95517,71
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Not in the list,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,99727,85
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,NO CHOSEN COURSE,ABM,"Accountancy, Business and Management (ABM)",,,,,20877,95
Male      ,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Nursing - BSN,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,114398,86
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,37225,99
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Business Administration major in Marketing - BSBA,HE,Home Economics (HE),,,,,84611,80
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Business Administration major in Marketing - BSBA,ABM,"Accountancy, Business and Management (ABM)",,,,,115721,90
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Arts in Psychology - AB PSYCHOLOGY,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,67289,78
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,109780,78
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Hospitality Management - BSHM,ICT,Information and Communications Technology (ICT),,,,,73896,95
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,101165,79
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,HUMSS,Humanities and Social Sciences (HUMSS),,,,,84296,78
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Information Technology - BSIT,HUMSS,Humanities and Social Sciences (HUMSS),,,,,35965,74
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,ICT,Information and Communications Technology (ICT),,,,,32144,73
Male      ,Bachelor of Science in Nursing - BSN,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Science in Hospitality Management - BSHM,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,110630,99
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,119279,81
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Accountancy - BSA,ICT,Information and Communications Technology (ICT),,,,,17286,73
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,45501,95
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Accountancy - BSA,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,34060,94
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,ICT,Information and Communications Technology (ICT),,,,,58369,86
Female    ,Not in the list,Not in the list,Not in the list,HE,Home Economics (HE),,,,,19225,88
Male      ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,67872,74
Female    ,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,53408,70
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Entrepreneurship - BSENT,ICT,Information and Communications Technology (ICT),,,,,43006,80
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,NO CHOSEN COURSE,ABM,"Accountancy, Business and Management (ABM)",,,,,90304,81
Female    ,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,83913,79
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Computer Science - BSCS,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,84019,84
Female    ,Bachelor of Science in Hospitality Management - BSHM,Undecided,Undecided,TVLM,TVL Maritime (TVLM),,,,,114247,79
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,54989,82
Female    ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Undecided,GA,General Academic (GA) ,,,,,117073,99
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,Not in the list,HUMSS,Humanities and Social Sciences (HUMSS),,,,,129853,81
Female    ,Bachelor of Secondary Education major in Mathematics - BSED MATH,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,81706,85
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Computer Science - BSCS,ICT,Information and Communications Technology (ICT),,,,,127557,98
Female    ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,45525,89
Male      ,Bachelor of Science in Information Technology - BSIT,NO CHOSEN COURSE,NO CHOSEN COURSE,ICT,Information and Communications Technology (ICT),,,,,67053,82
Female    ,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Science in Hospitality Management - BSHM,HUMSS,Humanities and Social Sciences (HUMSS),,,,,49321,81
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Bachelor of Science in Hospitality Management - BSHM,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,85257,89
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,Undecided,Undecided,ICT,Information and Communications Technology (ICT),,,,,74839,71
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,93914,97
Female    ,Bachelor of Science in Nursing - BSN,Bachelor of Science in Nursing - BSN,Bachelor of Science in Nursing - BSN,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,126900,99
Female    ,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,78346,93
